ca_table,ca_field,ca_code,wikidata_property,property_label,wikidata_misc,wikidata_data_type
ca_entities,preferred_labels,ca_entities.preferred_labels,,,labels,
ca_entities,description,ca_entities.description,,,descriptions,
ca_entities,nonpreferred_labels,ca_entities.nonpreferred_labels,,,aliases,
ca_entities,authority_wikipedia,ca_entities.authority_wikipedia,,,qid,
ca_entities,authority_wiki_data,ca_entities.authority_wiki_data,,,qid_local,
ca_entities,authority_ulan,ca_entities.authority_ulan,P245,Union List of Artist Names ID,,external-id
ca_entities,authority_viaf_value_id,ca_entities.authority_viaf_value_id,P214,VIAF ID,,external-id
ca_entities,gender_identity,ca_entities.gender_identity,P21,sex or gender,,wikibase-item
ca_entities,lifedates.birth_date,ca_entities.lifedates.birth_date,P569,date of birth,,time
ca_entities,lifedates.death_date,ca_entities.lifedates.death_date,P570,date of death,,time
ca_entities,occupation,ca_entities.occupation,P106,occupation,,wikibase-item
ca_entities,birthplace,ca_entities.birthplace,P19,place of birth,,wikibase-item
ca_entities,preferred_labels.surname,ca_entities.preferred_labels.surname,P734,family name,,wikibase-item
ca_entities,preferred_labels.forename,ca_entities.preferred_labels.forename,P735,given name,,wikibase-item
ca_occurrences,preferred_labels,ca_occurrences.preferred_labels,,,labels,
ca_occurrences,description,ca_occurrences.description,,,descriptions,
ca_occurrences,authority_wikipedia,ca_occurrences.authority_wikipedia,,,qid,
ca_occurrences,authority_wiki_data,ca_occurrences.authority_wiki_data,,,qid_local,
ca_occurrences,authority_ulan,ca_occurrences.authority_ulan,P245,Union List of Artist Names ID,,external-id
ca_occurrences,authority_viaf_value_id,ca_occurrences.authority_viaf_value_id,P214,VIAF ID,,external-id
ca_occurrences,language,ca_occurrences.language,P407,language of work or name,,wikibase-item
ca_occurrences,date,ca_occurrences.date,P577,publication date,,time
,,,P1191,date of first performance ,,
,,,P580,start time,,
,,,P582,end time,,
,,,P4647,location of first performance,,
,,,P272,production company,,
